predictor,mecanismo,k_leyenda,bloque,n_entregadas,cobertura,f1_alineado,f1_nativo,accuracy,leyenda
xgb-alphaearth,sin mecanismo,16,4,1313,1.0,0.341644,0.341644,0.750952,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,17"
xgb-alphaearth,rechazo por confianza,14,0,2007,1.0,0.507795,0.394952,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,14,1,4203,0.986851,0.473294,0.406893,0.786819,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,14,2,3599,0.793955,0.384236,0.407905,0.800222,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,14,3,4414,0.974823,0.619791,0.550965,0.892841,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,14,4,1258,0.958111,0.395264,0.352045,0.767886,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,14,0,2007,1.0,0.507795,0.507795,0.752865,"0,1,2,3,4,6,7,8,10,11,12,13,14,15"
xgb-alphaearth,retirada por F1,14,1,4203,0.986851,0.470518,0.470518,0.782298,"0,1,2,3,4,6,7,8,9,10,11,13,14,15"
xgb-alphaearth,retirada por F1,14,2,3599,0.793955,0.417608,0.417608,0.710475,"0,1,2,3,4,5,6,7,8,9,11,12,13,14"
xgb-alphaearth,retirada por F1,14,3,4414,0.974823,0.601536,0.601536,0.884912,"0,1,2,3,4,6,7,8,10,11,12,13,14,15"
xgb-alphaearth,retirada por F1,14,4,1258,0.958111,0.385445,0.385445,0.757552,"0,1,2,3,4,6,7,8,10,11,12,13,14,15"
xgb-alphaearth,retirada por soporte,14,0,1908,0.950673,0.385692,0.385692,0.751048,"0,1,2,3,4,5,6,7,9,10,11,13,15,17"
xgb-alphaearth,retirada por soporte,14,1,4118,0.966894,0.399998,0.399998,0.781204,"0,1,2,3,4,6,7,9,10,11,13,14,15,17"
xgb-alphaearth,retirada por soporte,14,2,3590,0.79197,0.387825,0.387825,0.710306,"0,1,2,3,4,5,6,7,8,9,11,13,14,16"
xgb-alphaearth,retirada por soporte,14,3,4292,0.94788,0.580284,0.580284,0.886999,"0,1,2,3,4,5,6,7,8,10,11,13,15,17"
xgb-alphaearth,retirada por soporte,14,4,1272,0.968774,0.374912,0.374912,0.754717,"0,1,2,3,4,6,7,9,10,11,13,14,15,17"
xgb-alphaearth,sin mecanismo,14,0,2007,1.0,0.507795,0.507795,0.752865,"0,1,2,3,4,6,7,8,10,11,12,13,14,15"
xgb-alphaearth,sin mecanismo,14,1,4259,1.0,0.467594,0.467594,0.779291,"0,1,2,3,4,6,7,8,9,10,11,13,14,15"
xgb-alphaearth,sin mecanismo,14,2,4533,1.0,0.377937,0.377937,0.709464,"0,1,2,3,4,5,6,7,8,9,11,12,13,14"
xgb-alphaearth,sin mecanismo,14,3,4528,1.0,0.59721,0.59721,0.875883,"0,1,2,3,4,6,7,8,10,11,12,13,14,15"
xgb-alphaearth,sin mecanismo,14,4,1313,1.0,0.378805,0.378805,0.750952,"0,1,2,3,4,6,7,8,10,11,12,13,14,15"
xgb-alphaearth,rechazo por confianza,12,0,1990,0.99153,0.550384,0.398659,0.756784,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,12,1,4198,0.985677,0.562561,0.406703,0.787518,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,12,2,3295,0.726892,0.427266,0.43114,0.823976,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,12,3,4177,0.922482,0.630589,0.572766,0.917165,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,12,4,1249,0.951257,0.454309,0.349995,0.769416,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,12,0,1990,0.99153,0.545851,0.545851,0.753769,"0,1,2,3,4,6,7,8,10,11,14,15"
xgb-alphaearth,retirada por F1,12,1,4198,0.985677,0.558077,0.558077,0.782754,"0,1,2,3,4,6,7,8,10,11,14,15"
xgb-alphaearth,retirada por F1,12,2,3295,0.726892,0.437071,0.437071,0.723217,"0,1,2,3,4,6,7,8,9,11,12,14"
xgb-alphaearth,retirada por F1,12,3,4177,0.922482,0.61527,0.61527,0.893464,"0,1,2,4,6,7,8,10,11,12,14,15"
xgb-alphaearth,retirada por F1,12,4,1249,0.951257,0.447877,0.447877,0.758207,"0,1,2,3,4,6,7,8,10,11,14,15"
xgb-alphaearth,retirada por soporte,12,0,1908,0.950673,0.449975,0.449975,0.751048,"0,1,2,3,4,6,7,9,10,11,13,15"
xgb-alphaearth,retirada por soporte,12,1,4115,0.966189,0.475472,0.475472,0.781531,"0,1,2,3,4,6,7,10,11,13,14,15"
xgb-alphaearth,retirada por soporte,12,2,3348,0.738584,0.402146,0.402146,0.719235,"0,1,2,3,4,7,8,9,11,13,14,16"
xgb-alphaearth,retirada por soporte,12,3,4287,0.946776,0.622856,0.622856,0.887567,"0,1,2,3,4,5,6,7,10,11,13,15"
xgb-alphaearth,retirada por soporte,12,4,1258,0.958111,0.42399,0.42399,0.757552,"0,1,2,3,4,6,7,10,11,13,14,15"
xgb-alphaearth,sin mecanismo,12,0,2007,1.0,0.545017,0.545017,0.752865,"0,1,2,3,4,6,7,8,10,11,14,15"
xgb-alphaearth,sin mecanismo,12,1,4259,1.0,0.554668,0.554668,0.779291,"0,1,2,3,4,6,7,8,10,11,14,15"
xgb-alphaearth,sin mecanismo,12,2,4533,1.0,0.387226,0.387226,0.709464,"0,1,2,3,4,6,7,8,9,11,12,14"
xgb-alphaearth,sin mecanismo,12,3,4528,1.0,0.607897,0.607897,0.875883,"0,1,2,4,6,7,8,10,11,12,14,15"
xgb-alphaearth,sin mecanismo,12,4,1313,1.0,0.438293,0.438293,0.750952,"0,1,2,3,4,6,7,8,10,11,14,15"
xgb-alphaearth,rechazo por confianza,10,0,1973,0.983059,0.5999,0.401841,0.762291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,10,1,4064,0.954215,0.638123,0.416717,0.803642,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,10,2,3286,0.724906,0.470622,0.432846,0.82532,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,10,3,4045,0.89333,0.685962,0.563468,0.92979,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,10,4,1191,0.907083,0.44026,0.362382,0.793451,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,10,0,1973,0.983059,0.593764,0.593764,0.756209,"0,1,2,4,7,8,10,11,14,15"
xgb-alphaearth,retirada por F1,10,1,4064,0.954215,0.62848,0.62848,0.786663,"0,1,2,4,7,8,10,11,14,15"
xgb-alphaearth,retirada por F1,10,2,3286,0.724906,0.482791,0.482791,0.723068,"0,1,2,3,4,6,7,8,11,14"
xgb-alphaearth,retirada por F1,10,3,4045,0.89333,0.66386,0.66386,0.897157,"0,1,2,4,6,7,8,10,11,15"
xgb-alphaearth,retirada por F1,10,4,1191,0.907083,0.428235,0.428235,0.764903,"0,1,2,4,7,8,10,11,14,15"
xgb-alphaearth,retirada por soporte,10,0,1902,0.947683,0.492401,0.492401,0.750789,"0,1,2,3,4,7,10,11,13,15"
xgb-alphaearth,retirada por soporte,10,1,3944,0.926039,0.435338,0.435338,0.780172,"0,1,2,3,6,7,10,11,13,15"
xgb-alphaearth,retirada por soporte,10,2,3345,0.737922,0.447281,0.447281,0.718984,"0,1,2,3,4,7,9,11,13,14"
xgb-alphaearth,retirada por soporte,10,3,4169,0.920716,0.609954,0.609954,0.885824,"0,1,2,3,6,7,10,11,13,15"
xgb-alphaearth,retirada por soporte,10,4,1244,0.947449,0.457406,0.457406,0.758039,"0,1,2,3,4,7,10,11,13,15"
xgb-alphaearth,sin mecanismo,10,0,2007,1.0,0.591401,0.591401,0.752865,"0,1,2,4,7,8,10,11,14,15"
xgb-alphaearth,sin mecanismo,10,1,4259,1.0,0.621791,0.621791,0.779291,"0,1,2,4,7,8,10,11,14,15"
xgb-alphaearth,sin mecanismo,10,2,4533,1.0,0.424671,0.424671,0.709464,"0,1,2,3,4,6,7,8,11,14"
xgb-alphaearth,sin mecanismo,10,3,4528,1.0,0.640927,0.640927,0.875883,"0,1,2,4,6,7,8,10,11,15"
xgb-alphaearth,sin mecanismo,10,4,1313,1.0,0.418395,0.418395,0.750952,"0,1,2,4,7,8,10,11,14,15"
xgb-alphaearth,rechazo por confianza,9,0,1933,0.963129,0.621228,0.409409,0.771857,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,9,1,4007,0.940831,0.638982,0.418618,0.810082,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,9,2,2920,0.644165,0.462243,0.484825,0.860616,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,9,3,4021,0.88803,0.683452,0.556033,0.931112,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,9,4,1191,0.907083,0.513637,0.362382,0.793451,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,9,0,1933,0.963129,0.611546,0.611546,0.757372,"0,1,2,4,7,8,10,14,15"
xgb-alphaearth,retirada por F1,9,1,4007,0.940831,0.628255,0.628255,0.786873,"0,1,2,4,7,8,10,14,15"
xgb-alphaearth,retirada por F1,9,2,2920,0.644165,0.514647,0.514647,0.734589,"0,1,2,3,4,6,7,8,14"
xgb-alphaearth,retirada por F1,9,3,4021,0.88803,0.657557,0.657557,0.897538,"0,1,2,4,7,8,10,11,15"
xgb-alphaearth,retirada por F1,9,4,1191,0.907083,0.499607,0.499607,0.764903,"0,1,2,4,7,8,10,14,15"
xgb-alphaearth,retirada por soporte,9,0,1902,0.947683,0.547112,0.547112,0.750789,"0,1,2,3,4,7,11,13,15"
xgb-alphaearth,retirada por soporte,9,1,3944,0.926039,0.489755,0.489755,0.780172,"0,1,2,3,7,10,11,13,15"
xgb-alphaearth,retirada por soporte,9,2,3345,0.737922,0.496979,0.496979,0.718984,"0,1,2,3,4,7,11,13,14"
xgb-alphaearth,retirada por soporte,9,3,4145,0.915415,0.596919,0.596919,0.886128,"0,1,2,3,7,10,11,13,15"
xgb-alphaearth,retirada por soporte,9,4,1206,0.918507,0.421107,0.421107,0.756219,"0,1,2,3,7,10,11,13,15"
xgb-alphaearth,sin mecanismo,9,0,2007,1.0,0.606526,0.606526,0.752865,"0,1,2,4,7,8,10,14,15"
xgb-alphaearth,sin mecanismo,9,1,4259,1.0,0.620177,0.620177,0.779291,"0,1,2,4,7,8,10,14,15"
xgb-alphaearth,sin mecanismo,9,2,4533,1.0,0.400758,0.400758,0.709464,"0,1,2,3,4,6,7,8,14"
xgb-alphaearth,sin mecanismo,9,3,4528,1.0,0.64412,0.64412,0.875883,"0,1,2,4,7,8,10,11,15"
xgb-alphaearth,sin mecanismo,9,4,1313,1.0,0.488127,0.488127,0.750952,"0,1,2,4,7,8,10,14,15"
xgb-alphaearth,rechazo por confianza,8,0,1933,0.963129,0.698882,0.409409,0.771857,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,8,1,3922,0.920873,0.59287,0.418502,0.819225,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,8,2,2699,0.595411,0.548429,0.546992,0.880697,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,8,3,3984,0.879859,0.682361,0.561272,0.934739,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,8,4,1191,0.907083,0.513637,0.362382,0.793451,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,8,0,1933,0.963129,0.687989,0.687989,0.757372,"0,1,2,4,7,8,14,15"
xgb-alphaearth,retirada por F1,8,1,3922,0.920873,0.588611,0.588611,0.785824,"0,1,2,4,7,10,14,15"
xgb-alphaearth,retirada por F1,8,2,2699,0.595411,0.589779,0.589779,0.743979,"0,1,2,3,4,7,8,14"
xgb-alphaearth,retirada por F1,8,3,3984,0.879859,0.663613,0.663613,0.899347,"0,1,2,4,7,8,10,15"
xgb-alphaearth,retirada por F1,8,4,1191,0.907083,0.499607,0.499607,0.764903,"0,1,2,4,7,8,14,15"
xgb-alphaearth,retirada por soporte,8,0,1881,0.93722,0.516607,0.516607,0.74907,"0,1,2,3,7,11,13,15"
xgb-alphaearth,retirada por soporte,8,1,3944,0.926039,0.55972,0.55972,0.780172,"0,1,2,3,7,11,13,15"
xgb-alphaearth,retirada por soporte,8,2,3343,0.737481,0.559101,0.559101,0.719414,"0,1,2,3,4,7,11,13"
xgb-alphaearth,retirada por soporte,8,3,4145,0.915415,0.671534,0.671534,0.886128,"0,1,2,3,7,11,13,15"
xgb-alphaearth,retirada por soporte,8,4,1206,0.918507,0.421107,0.421107,0.756219,"0,1,2,3,7,11,13,15"
xgb-alphaearth,sin mecanismo,8,0,2007,1.0,0.682341,0.682341,0.752865,"0,1,2,4,7,8,14,15"
xgb-alphaearth,sin mecanismo,8,1,4259,1.0,0.5835,0.5835,0.779291,"0,1,2,4,7,10,14,15"
xgb-alphaearth,sin mecanismo,8,2,4533,1.0,0.375412,0.375412,0.709464,"0,1,2,3,4,7,8,14"
xgb-alphaearth,sin mecanismo,8,3,4528,1.0,0.65267,0.65267,0.875883,"0,1,2,4,7,8,10,15"
xgb-alphaearth,sin mecanismo,8,4,1313,1.0,0.488127,0.488127,0.750952,"0,1,2,4,7,8,14,15"
